PCA total explained variance =  0.47
445  -0.477635  3.673990 -2.202580 -0.407224 -0.177893
446   3.620121 -1.788344  0.442505  1.840231  0.277020
447  -1.368213 -0.887962  2.455931  0.513496  2.154180
448  -0.231689  1.006771  4.565056 -2.178713 -1.625137
449   5.248359 -1.341243  4.864255  0.725486 -1.547063
450  -1.470486 -1.342895 -5.716059 -2.740383  2.849222
451  -2.050334 -5.085513  3.764483  3.036264  0.803930
452   3.387746  4.519905 -1.240328 -2.301910 -1.694055
453  -2.671876  0.492933  1.704352 -0.740731 -1.835057
454  -3.214809  0.856901  1.509031 -0.591750 -2.919355
455   0.556333 -2.214568 -3.819311 -1.196024 -1.128452
456   6.037565 -0.939072 -2.291651  1.862984 -0.053368
457  -1.191043  0.207096  0.752482 -1.247809  4.806987
458   0.251261  0.990642  0.222122  0.780275  3.510395
459  -2.910675  0.780877 -3.897889 -2.754008  4.086526
460   9.099261 -1.636529 -2.604403 -0.731569  0.096960
461  -2.943134 -2.602103  1.123689 -0.374774  1.233663
462  -1.479601 -8.052372 -0.607878 -1.659643  2.485920
463  -1.224611 -2.362712  0.887384  3.575659  0.395874
464   3.971025 -1.377073 -0.107978 -2.475443 -2.284789
465  -2.088268  2.919863  0.895270  1.436318  2.328595
466   2.291066 -0.483533 -0.549256 -1.859210  5.183491
467  -0.590604 -2.283967 -3.765837  2.375660 -3.275495
468   3.720421 -4.241761 -0.927703 -2.121897 -1.410823
469  -2.456094 -0.037710  2.817457 -1.913447 -2.415486
